
Test set: Average loss: 0.8546, Accuracy: 6416/8871 (72%)


Test set: Average loss: 0.8518, Accuracy: 6480/8871 (73%)


Test set: Average loss: 0.8540, Accuracy: 6434/8871 (73%)


Test set: Average loss: 0.8660, Accuracy: 6345/8871 (72%)


Test set: Average loss: 0.8517, Accuracy: 6485/8871 (73%)


Test set: Average loss: 0.8671, Accuracy: 6350/8871 (72%)


Test set: Average loss: 0.8662, Accuracy: 6448/8871 (73%)


Test set: Average loss: 0.8650, Accuracy: 6386/8871 (72%)


Test set: Average loss: 0.8559, Accuracy: 6442/8871 (73%)


Test set: Average loss: 0.8673, Accuracy: 6367/8871 (72%)


Test set: Average loss: 0.8682, Accuracy: 6461/8871 (73%)


Test set: Average loss: 0.8673, Accuracy: 6486/8871 (73%)


Test set: Average loss: 0.8632, Accuracy: 6434/8871 (73%)


Test set: Average loss: 0.8696, Accuracy: 6398/8871 (72%)


Test set: Average loss: 0.8588, Accuracy: 6453/8871 (73%)


Test set: Average loss: 0.8641, Accuracy: 6439/8871 (73%)


Test set: Average loss: 0.8683, Accuracy: 6464/8871 (73%)


Test set: Average loss: 0.8819, Accuracy: 6379/8871 (72%)


Test set: Average loss: 0.8686, Accuracy: 6366/8871 (72%)


Test set: Average loss: 0.8778, Accuracy: 6521/8871 (74%)


Test set: Average loss: 0.8676, Accuracy: 6400/8871 (72%)


Test set: Average loss: 0.8664, Accuracy: 6448/8871 (73%)


Test set: Average loss: 0.8712, Accuracy: 6427/8871 (72%)


Test set: Average loss: 0.8664, Accuracy: 6430/8871 (72%)


Test set: Average loss: 0.8719, Accuracy: 6369/8871 (72%)


Test set: Average loss: 0.8737, Accuracy: 6309/8871 (71%)


Test set: Average loss: 0.8784, Accuracy: 6408/8871 (72%)


Test set: Average loss: 0.8718, Accuracy: 6451/8871 (73%)


Test set: Average loss: 0.8689, Accuracy: 6415/8871 (72%)


Test set: Average loss: 0.8918, Accuracy: 6265/8871 (71%)


Test set: Average loss: 0.8815, Accuracy: 6369/8871 (72%)


Test set: Average loss: 0.8894, Accuracy: 6387/8871 (72%)


Test set: Average loss: 0.8845, Accuracy: 6251/8871 (70%)


Test set: Average loss: 0.8855, Accuracy: 6486/8871 (73%)


Test set: Average loss: 0.8775, Accuracy: 6450/8871 (73%)


Test set: Average loss: 0.8898, Accuracy: 6438/8871 (73%)


Test set: Average loss: 0.8881, Accuracy: 6393/8871 (72%)


Test set: Average loss: 0.8902, Accuracy: 6453/8871 (73%)


Test set: Average loss: 0.8856, Accuracy: 6385/8871 (72%)


Test set: Average loss: 0.8916, Accuracy: 6303/8871 (71%)


Test set: Average loss: 0.9015, Accuracy: 6342/8871 (71%)


Test set: Average loss: 0.8929, Accuracy: 6417/8871 (72%)


Test set: Average loss: 0.8837, Accuracy: 6379/8871 (72%)


Test set: Average loss: 0.8939, Accuracy: 6435/8871 (73%)


Test set: Average loss: 0.8889, Accuracy: 6368/8871 (72%)


Test set: Average loss: 0.8929, Accuracy: 6386/8871 (72%)


Test set: Average loss: 0.9219, Accuracy: 6109/8871 (69%)


Test set: Average loss: 0.8896, Accuracy: 6438/8871 (73%)


Test set: Average loss: 0.9081, Accuracy: 6266/8871 (71%)


Test set: Average loss: 0.8954, Accuracy: 6377/8871 (72%)


Test set: Average loss: 0.8971, Accuracy: 6502/8871 (73%)


Test set: Average loss: 0.9012, Accuracy: 6367/8871 (72%)


Test set: Average loss: 0.8926, Accuracy: 6325/8871 (71%)


Test set: Average loss: 0.8866, Accuracy: 6398/8871 (72%)


Test set: Average loss: 0.9020, Accuracy: 6301/8871 (71%)


Test set: Average loss: 0.8965, Accuracy: 6407/8871 (72%)


Test set: Average loss: 0.9009, Accuracy: 6461/8871 (73%)


